customer_id,item_id,rating
42118,66251373,5.241121
42118,76732229,5.143683
42118,19395453,4.828125
42118,71293311,4.8144255
42118,73844240,4.79328
88282,76732229,5.339445
88282,66251373,5.3060617
88282,19395453,4.9950695
88282,73844240,4.950924
88282,71293311,4.949948
170605,66251373,5.2284274
170605,76732229,5.2188168
170605,73238633,4.9237804
170605,71293311,4.888445
170605,73844240,4.8845053
683356,76732229,5.4874964
683356,66251373,5.4689407
683356,71293311,5.1147695
683356,73844240,5.0853944
683356,19395453,5.0736513
805176,66251373,5.254973
805176,76732229,5.248278
805176,71293311,4.924833
805176,19395453,4.885806
805176,73844240,4.8739634
860191,76732229,5.278347
860191,66251373,5.273677
860191,19395453,4.96322
860191,50592901,4.9325128
860191,50560427,4.925994
1012330,66251373,4.0704722
1012330,76732229,4.0657973
1012330,71293311,3.8624747
1012330,74227763,3.8170447
1012330,73844240,3.8004951
1069900,76732229,4.978734
1069900,66251373,4.843794
1069900,71293311,4.606799
1069900,72323554,4.58681
1069900,73844240,4.5853033
1417677,76732229,5.3692303
1417677,66251373,5.358633
1417677,71293311,5.0419226
1417677,19395453,5.008978
1417677,73238633,4.993959
1829459,66251373,5.0671625
1829459,76732229,4.9507346
1829459,19395453,4.6339097
1829459,46779514,4.618577
1829459,50560427,4.613595
1937042,66251373,5.320481
1937042,76732229,5.280019
1937042,71293311,4.950196
1937042,19395453,4.924871
1937042,73844240,4.923522
2024556,76732229,5.4526434
2024556,66251373,5.26566
2024556,71293311,5.1418295
2024556,46779514,5.029117
2024556,19395453,5.028411
2170980,76732229,3.152342
2170980,66251373,3.1081233
2170980,72323554,2.9473596
2170980,73844240,2.9453607
2170980,71293311,2.9347029
5347117,76732229,5.484735
5347117,66251373,5.4552727
5347117,71293311,5.107303
5347117,73844240,5.083684
5347117,19395453,5.0819035
5470950,76732229,5.315355
5470950,66251373,5.3136296
5470950,71293311,4.9900904
5470950,19395453,4.912327
5470950,73844240,4.8900313
5566857,66251373,5.3333244
5566857,76732229,5.2412114
5566857,71293311,4.9530725
5566857,19395453,4.924699
5566857,73844240,4.883698
5724813,66251373,5.471386
5724813,76732229,5.425557
5724813,71293311,5.0741653
5724813,73844240,5.0440598
5724813,19395453,5.039686
5873543,66251373,1.1024019
5873543,76732229,1.090502
5873543,19395453,1.024891
5873543,67985251,1.0196148
5873543,73844240,1.016898
6052109,76732229,4.8877587
6052109,66251373,4.8151183
6052109,71293311,4.7470155
